y,z,vy,vz
-3.85212,2.69441,0.826984,-0.860391
-3.84367,2.68589,0.845588,-0.852121
-3.83502,2.67745,0.864109,-0.843665
-3.8262,2.6691,0.882546,-0.835024
-3.81719,2.66084,0.900896,-0.826199
-3.808,2.65267,0.919158,-0.81719
-3.79863,2.64459,0.93733,-0.807998
-3.78907,2.6366,0.95541,-0.798625
-3.77934,2.62871,0.973396,-0.789071
-3.76942,2.62092,0.991287,-0.779337
-3.75933,2.61323,1.00908,-0.769424
-3.74907,2.60563,1.02677,-0.759333
-3.73862,2.59814,1.04437,-0.749066
-3.728,2.59076,1.06186,-0.738622
-3.71721,2.58348,1.07924,-0.728003
-3.70625,2.5763,1.09652,-0.717211
-3.69511,2.56924,1.1137,-0.706246
-3.6838,2.56229,1.13076,-0.695109
-3.67232,2.55545,1.14771,-0.683801
-3.66068,2.54873,1.16455,-0.672324
-3.64887,2.54212,1.18127,-0.660679
-3.63689,2.53563,1.19788,-0.648866
-3.62474,2.52926,1.21437,-0.636887
-3.61244,2.52302,1.23074,-0.624743
-3.59997,2.51689,1.24698,-0.612436
-3.58734,2.51089,1.26311,-0.599966
-3.57454,2.50502,1.27911,-0.587335
-3.56159,2.49927,1.29498,-0.574544
-3.54849,2.49366,1.31073,-0.561594
-3.53522,2.48817,1.32634,-0.548487
-3.52181,2.48282,1.34183,-0.535224
-3.50823,2.4776,1.35718,-0.521805
-3.49451,2.47252,1.3724,-0.508233
-3.48063,2.46758,1.38748,-0.494509
-3.46661,2.46277,1.40242,-0.480635
-3.45244,2.4581,1.41723,-0.46661
-3.43812,2.45358,1.4319,-0.452438
-3.42365,2.4492,1.44642,-0.438119
-3.40905,2.44496,1.4608,-0.423655
-3.3943,2.44087,1.47504,-0.409047
-3.37941,2.43693,1.48913,-0.394297
-3.36437,2.43313,1.50307,-0.379405
-3.34921,2.42949,1.51687,-0.364374
-3.3339,2.426,1.53051,-0.349206
-3.31846,2.42266,1.544,-0.333901
-3.30289,2.41947,1.55734,-0.318461
-3.28718,2.41645,1.57053,-0.302887
-3.27135,2.41357,1.58355,-0.287182
-3.25538,2.41086,1.59643,-0.271346
-3.23929,2.40831,1.60914,-0.255382
-3.22307,2.40591,1.62169,-0.239291
-3.20673,2.40368,1.63409,-0.223074
-3.19027,2.40161,1.64632,-0.206733
-3.17369,2.39971,1.65839,-0.19027
-3.15698,2.39798,1.67029,-0.173686
-3.14016,2.39641,1.68202,-0.156983
-3.12323,2.395,1.69359,-0.140163
-3.10618,2.39377,1.705,-0.123227
-3.08901,2.39271,1.71623,-0.106177
